SUBJECT,START DATE,END DATE
Встреча с куратором  190925-wdm,19.9.2025 09:00,19.9.2025 10:30
Введение 1: Кто такой Front-end разработчик, языки программирования Bekov Astemir 190925-wdm,22.9.2025 09:00,22.9.2025 12:15
Введение 2: Базовая математика (умножение/деление/возведение в степень) Barbylev Ilya 190925-wdm,23.9.2025 09:00,23.9.2025 12:15
Компьютерная грамотность 1: Компьютеры и девайсы Andreev Vyacheslav 190925-wdm,23.9.2025 12:30,23.9.2025 14:00
Введение 3: Интернет и безопасность данных (GDPR) Andreev Vyacheslav 190925-wdm,24.9.2025 09:00,24.9.2025 12:15
Компьютерная грамотность 2: Монитор и клавиатура Andreev Vyacheslav 190925-wdm,24.9.2025 12:30,24.9.2025 14:00
Введение 4: Продвинутая математика Andreev Vyacheslav 190925-wdm,25.9.2025 09:00,25.9.2025 12:15
Компьютерная грамотность 3: Работа с папками и файлами Andreev Vyacheslav 190925-wdm,25.9.2025 12:30,25.9.2025 14:00
Введение 5: Подготовка к обучению (установка программ)  Andreev Vyacheslav 190925-wdm,26.9.2025 09:00,26.9.2025 12:15
Компьютерная грамотность 4: Интернет и Google-диск Andreev Vyacheslav 190925-wdm,26.9.2025 12:30,26.9.2025 14:00
Front-end 1.1 VS Code и настройка рабочей среды Bekov Astemir 190925-wdm,29.9.2025 09:00,29.9.2025 10:30
Front-end 1.2: Знакомство с HTML и CSS Bekov Astemir 190925-wdm,29.9.2025 10:45,29.9.2025 12:15
Linux & Git 1: Введение в Linux Andreev Vyacheslav 190925-wdm,29.9.2025 12:30,29.9.2025 14:00
Front-end 2.1: Стилизация: CSS классы, отступы, div Bekov Astemir 190925-wdm,30.9.2025 09:00,30.9.2025 10:30
Front-end 2.2: Структура проекта Bekov Astemir 190925-wdm,30.9.2025 10:45,30.9.2025 12:15
German: Занятие знакомство Mudrova Daria 190925-wdm,30.9.2025 12:30,30.9.2025 14:00
Front-end 3.1: Текстовые теги, списки Bekov Astemir 190925-wdm,1.10.2025 09:00,1.10.2025 10:30
Front-end 3.2: Формы, текстовые поля, кнопки Bekov Astemir 190925-wdm,1.10.2025 10:45,1.10.2025 12:15
Front-end 4.1: Единицы измерения Bekov Astemir 190925-wdm,1.10.2025 12:30,1.10.2025 14:00
Front-end 4.2: Адаптивность: media запросы Bekov Astemir 190925-wdm,2.10.2025 10:45,2.10.2025 12:15
Front-end 5: Practice Bekov Astemir 190925-wdm,2.10.2025 12:30,2.10.2025 14:00
Front-end 6: Summary Session 1 Bekov Astemir 190925-wdm,2.10.2025 09:00,2.10.2025 10:30
Front-end 7.1: Знакомство с flexbox Bekov Astemir 190925-wdm,6.10.2025 09:00,6.10.2025 10:30
Front-end 7.2: flex-grow, flex-shrink, flex-basis Bekov Astemir 190925-wdm,6.10.2025 10:45,6.10.2025 12:15
Linux & Git 2:  Первые команды Andreev Vyacheslav 190925-wdm,6.10.2025 12:30,6.10.2025 14:00
Front-end 8.1: Структура HTML-формы Bekov Astemir 190925-wdm,7.10.2025 09:00,7.10.2025 10:30
Front-end 8.2: Текстовые поля и валидация Bekov Astemir 190925-wdm,7.10.2025 10:45,7.10.2025 12:15
Front-end 9.1: Что такое позиционирование, относительное позиционирование Bekov Astemir 190925-wdm,8.10.2025 09:00,8.10.2025 10:30
Front-end 9.2: Абсолютное, фиксированное и sticky позиционирование Bekov Astemir 190925-wdm,8.10.2025 10:45,8.10.2025 12:15
Linux & Git 3:  Summary Session 1 Andreev Vyacheslav 190925-wdm,8.10.2025 12:30,8.10.2025 14:00
Front-end 10.1: Псевдоклассы Bekov Astemir 190925-wdm,9.10.2025 09:00,9.10.2025 10:30
Front-end 10.2: Псевдоэлементы, анимации Bekov Astemir 190925-wdm,9.10.2025 10:45,9.10.2025 12:15
Front-end 11: Practice Bekov Astemir 190925-wdm,9.10.2025 12:30,9.10.2025 14:00
Front-end 12: Summary Session Bekov Astemir 190925-wdm,10.10.2025 09:00,10.10.2025 12:15
Front-end 13.1: Знакомство с grid Bekov Astemir 190925-wdm,13.10.2025 09:00,13.10.2025 10:30
Front-end 13.2: Продвинутые свойства grid Bekov Astemir 190925-wdm,13.10.2025 10:45,13.10.2025 12:15
Linux & Git 4:  pipe and redirection Andreev Vyacheslav 190925-wdm,13.10.2025 12:30,13.10.2025 14:00
Front-end 14.1: Подходы к адаптивной верстке Bekov Astemir 190925-wdm,14.10.2025 09:00,14.10.2025 10:30
Front-end 14.2: Приемы адаптивной верстки Bekov Astemir 190925-wdm,14.10.2025 10:45,14.10.2025 12:15
Front-end 15.1: Подключение библиотеки с иконками: Fontawesome и Bootstrap Icons Bekov Astemir 190925-wdm,15.10.2025 09:00,15.10.2025 10:30
Front-end 15.2: Material Icons и Material Symbols Bekov Astemir 190925-wdm,15.10.2025 10:45,15.10.2025 12:15
Linux & Git 5:  Summary Session 2 Andreev Vyacheslav 190925-wdm,15.10.2025 12:30,15.10.2025 14:00
Front-end 16.1: Работа с переменными Bekov Astemir 190925-wdm,16.10.2025 09:00,16.10.2025 10:30
Front-end 16.2: Условные операторы Bekov Astemir 190925-wdm,16.10.2025 10:45,16.10.2025 12:15
Front-end 17: Practice Bekov Astemir 190925-wdm,16.10.2025 12:30,16.10.2025 14:00
Front-end 18: Summary Session Bekov Astemir 190925-wdm,17.10.2025 09:00,17.10.2025 12:15
Front-end 19.1: Условные операторы. Продолжение Bekov Astemir 190925-wdm,20.10.2025 09:00,20.10.2025 10:30
Front-end 19.2: Цикл for Bekov Astemir 190925-wdm,20.10.2025 10:45,20.10.2025 12:15
Linux & Git 6: Текстовые редакторы на примере vi и nano  Andreev Vyacheslav 190925-wdm,20.10.2025 12:30,20.10.2025 14:00
Front-end 20.1: Циклы for, while, do…while. Продолжение Bekov Astemir 190925-wdm,21.10.2025 09:00,21.10.2025 10:30
Front-end 20.2: Массивы Bekov Astemir 190925-wdm,21.10.2025 10:45,21.10.2025 12:15
Front-end 21.1: Введение в объекты Bekov Astemir 190925-wdm,22.10.2025 09:00,22.10.2025 10:30
Front-end 21.2: Вложенные объекты Bekov Astemir 190925-wdm,22.10.2025 10:45,22.10.2025 12:15
Linux & Git 7: Summary Session 3 Andreev Vyacheslav 190925-wdm,22.10.2025 12:30,22.10.2025 14:00
Front-end 22.1: Введение в функции Bekov Astemir 190925-wdm,23.10.2025 09:00,23.10.2025 10:30
Front-end 22.2: Параметры функции, стрелочные функции Bekov Astemir 190925-wdm,23.10.2025 10:45,23.10.2025 12:15
Front-end 23: Practice Bekov Astemir 190925-wdm,23.10.2025 12:30,23.10.2025 14:00
Front-end 24: Summary Session Bekov Astemir 190925-wdm,24.10.2025 09:00,24.10.2025 12:15
Front-end 25.1: Работа с JS. Часть 1 Bekov Astemir 190925-wdm,27.10.2025 09:00,27.10.2025 10:30
Front-end 25.2: Работа с JS. Часть 2 Bekov Astemir 190925-wdm,27.10.2025 10:45,27.10.2025 12:15
Linux & Git 8:  SSH - secured shell Andreev Vyacheslav 190925-wdm,27.10.2025 12:30,27.10.2025 14:00
Front-end 26.1: Введение в JS DOM и изменение значений элементов Bekov Astemir 190925-wdm,28.10.2025 09:00,28.10.2025 10:30
Front-end 26.2: Создание DOM элементов Bekov Astemir 190925-wdm,28.10.2025 10:45,28.10.2025 12:15
Front-end 27.1: Копирование, удаление, перемещение элементов Bekov Astemir 190925-wdm,29.10.2025 09:00,29.10.2025 10:30
Front-end 27.2: События, обработчики событий и типы событий Bekov Astemir 190925-wdm,29.10.2025 10:45,29.10.2025 12:15
Linux & Git 9: Summary Session 4 Andreev Vyacheslav 190925-wdm,29.10.2025 12:30,29.10.2025 14:00
Front-end 28.1: Атрибут style, setAttribute и cssText Bekov Astemir 190925-wdm,30.10.2025 09:00,30.10.2025 10:30
Front-end 28.2: Работа со стилями и свойство classList Bekov Astemir 190925-wdm,30.10.2025 10:45,30.10.2025 12:15
Front-end 29: Practice Bekov Astemir 190925-wdm,30.10.2025 12:30,30.10.2025 14:00
Front-end 30: Summary Session Bekov Astemir 190925-wdm,31.10.2025 09:00,31.10.2025 12:15
Front-end 31.1: Обработка событий html формы Bekov Astemir 190925-wdm,3.11.2025 09:00,3.11.2025 10:30
Front-end 31.2: JS Обработка формы Bekov Astemir 190925-wdm,3.11.2025 10:45,3.11.2025 12:15
Linux & Git 10:  Переменные. Системные переменные  Andreev Vyacheslav 190925-wdm,3.11.2025 12:30,3.11.2025 14:00
Front-end 32.1: Учебный проект: Вводные данные и 1, 2 экраны Bekov Astemir 190925-wdm,4.11.2025 09:00,4.11.2025 10:30
Front-end 32.2: Учебный проект: 3, 4, 5 экраны Bekov Astemir 190925-wdm,4.11.2025 10:45,4.11.2025 12:15
AI Webdev 1: Используем AI в обучении  190925-wdm,4.11.2025 12:30,4.11.2025 14:00
Front-end 33.1: Учебный проект: 6 экран, адаптив Bekov Astemir 190925-wdm,5.11.2025 09:00,5.11.2025 10:30
Front-end 33.2: Методы push, map и forEach Bekov Astemir 190925-wdm,5.11.2025 10:45,5.11.2025 12:15
Linux & Git 11: Summary Session 5 Andreev Vyacheslav 190925-wdm,5.11.2025 12:30,5.11.2025 14:00
Front-end 34.1: Методы pop, filter и sort Bekov Astemir 190925-wdm,6.11.2025 09:00,6.11.2025 10:30
Front-end 34.2: Методы shift, unshift, reduce и from Bekov Astemir 190925-wdm,6.11.2025 10:45,6.11.2025 12:15
Front-end 35: Practice Bekov Astemir 190925-wdm,6.11.2025 12:30,6.11.2025 14:00
Front-end 36: Summary Session Bekov Astemir 190925-wdm,7.11.2025 09:00,7.11.2025 12:15
Front-end 37.1: every и some Bekov Astemir 190925-wdm,10.11.2025 09:00,10.11.2025 10:30
Front-end 37.2: localStorage и его методы Bekov Astemir 190925-wdm,10.11.2025 10:45,10.11.2025 12:15
Linux & Git 12:  file permissions, first bash script Andreev Vyacheslav 190925-wdm,10.11.2025 12:30,10.11.2025 14:00
Linux & Git 13: Git introduction Andreev Vyacheslav 190925-wdm,11.11.2025 09:00,11.11.2025 12:15
Front-end 38.1: Реализация темной темы с помощью localStorage Bekov Astemir 190925-wdm,12.11.2025 09:00,12.11.2025 10:30
Front-end 38.2: Объекты и массивы в localStorage Bekov Astemir 190925-wdm,12.11.2025 10:45,12.11.2025 12:15
Linux & Git 14: Summary Session 6 Andreev Vyacheslav 190925-wdm,12.11.2025 12:30,12.11.2025 14:00
Front-end 39.1: Учебный проект. Регистрация и авторизация Bekov Astemir 190925-wdm,13.11.2025 09:00,13.11.2025 10:30
Front-end 39.2: Промисы, then, catch и finally Bekov Astemir 190925-wdm,13.11.2025 10:45,13.11.2025 12:15
Front-end 40: Practice Bekov Astemir 190925-wdm,13.11.2025 12:30,13.11.2025 14:00
Front-end 41: Summary Session Bekov Astemir 190925-wdm,14.11.2025 09:00,14.11.2025 12:15
Front-end 42.1: Методы Promise Bekov Astemir 190925-wdm,17.11.2025 09:00,17.11.2025 10:30
Front-end 42.2: HTTP-запросы, fetch Bekov Astemir 190925-wdm,17.11.2025 10:45,17.11.2025 12:15
Linux & Git 15: Linux: find, locate, bash scripts -  loops and cycles Andreev Vyacheslav 190925-wdm,17.11.2025 12:30,17.11.2025 14:00
Linux & Git 16: Ветви в Git Andreev Vyacheslav 190925-wdm,18.11.2025 09:00,18.11.2025 12:15
Front-end 43.1: Получение данных для наполнения страницы Bekov Astemir 190925-wdm,19.11.2025 09:00,19.11.2025 10:30
Front-end 43.2: Front-end. Консультация по проекту часть 1 (реализация рег) Bekov Astemir 190925-wdm,19.11.2025 10:45,19.11.2025 12:15
Linux & Git 17: Summary Session 7 Andreev Vyacheslav 190925-wdm,19.11.2025 12:30,19.11.2025 14:00
Front-end 44.1: Front-end. Консультация по проекту часть 2 (реализация рег) Bekov Astemir 190925-wdm,20.11.2025 09:00,20.11.2025 10:30
Front-end 44.2: Front-end. Консультация по проекту часть 3 (реализация рег) Bekov Astemir 190925-wdm,20.11.2025 10:45,20.11.2025 12:15
Front-end 45: Practice Bekov Astemir 190925-wdm,20.11.2025 12:30,20.11.2025 14:00
Front-end 46: Summary Session Bekov Astemir 190925-wdm,21.11.2025 09:00,21.11.2025 12:15
Front-end 47.1: Async/await Bekov Astemir 190925-wdm,24.11.2025 09:00,24.11.2025 10:30
Front-end 47.2: Работа с async/await Bekov Astemir 190925-wdm,24.11.2025 10:45,24.11.2025 12:15
Linux & Git 18: Linux: scripts vol1 Andreev Vyacheslav 190925-wdm,24.11.2025 12:30,24.11.2025 14:00
Linux & Git 19: Git: merge&rebase Andreev Vyacheslav 190925-wdm,25.11.2025 09:00,25.11.2025 12:15
Front-end 48.1: Обработка ошибок, try catch Bekov Astemir 190925-wdm,26.11.2025 09:00,26.11.2025 10:30
Front-end 48.2: Разработка todo-листа с помощью async/await и try…catch Bekov Astemir 190925-wdm,26.11.2025 10:45,26.11.2025 12:15
Linux & Git 20: Summary Session 8 Andreev Vyacheslav 190925-wdm,26.11.2025 12:30,26.11.2025 14:00
Front-end 49.1: Event Loop Bekov Astemir 190925-wdm,27.11.2025 09:00,27.11.2025 10:30
Front-end 49.2: Установка и настройка Sass Bekov Astemir 190925-wdm,27.11.2025 10:45,27.11.2025 12:15
Front-end 50: Practice Bekov Astemir 190925-wdm,27.11.2025 12:30,27.11.2025 14:00
Front-end 51: Summary Session Bekov Astemir 190925-wdm,28.11.2025 09:00,28.11.2025 12:15
Front-end 52.1: Синтаксические конструкции sass Bekov Astemir 190925-wdm,1.12.2025 09:00,1.12.2025 10:30
Front-end 52.2: Создания селекторов Bekov Astemir 190925-wdm,1.12.2025 10:45,1.12.2025 12:15
Linux & Git 21: Linux: cron, crontab + tar Andreev Vyacheslav 190925-wdm,1.12.2025 12:30,1.12.2025 14:00
Linux & Git 22: Git: rebase advanced, PR Andreev Vyacheslav 190925-wdm,2.12.2025 09:00,2.12.2025 12:15
Front-end 53.1: Введение в this, контексты вызова Bekov Astemir 190925-wdm,3.12.2025 09:00,3.12.2025 10:30
Front-end 53.2: Определение контекста в функциях, функции конструкторы Bekov Astemir 190925-wdm,3.12.2025 10:45,3.12.2025 12:15
Linux & Git 23: Summary Session 9 Andreev Vyacheslav 190925-wdm,3.12.2025 12:30,3.12.2025 14:00
Front-end 54.1: Введение в ООП Bekov Astemir 190925-wdm,4.12.2025 09:00,4.12.2025 10:30
Front-end 54.2: Полиморфизм, инкапсуляция Bekov Astemir 190925-wdm,4.12.2025 10:45,4.12.2025 12:15
Front-end 55: Practice Bekov Astemir 190925-wdm,4.12.2025 12:30,4.12.2025 14:00
Front-end 56: Summary Session Bekov Astemir 190925-wdm,5.12.2025 09:00,5.12.2025 12:15
Front-end 57.1: Статические свойства и методы Bekov Astemir 190925-wdm,8.12.2025 09:00,8.12.2025 10:30
Front-end 57.2: Статические свойства Bekov Astemir 190925-wdm,8.12.2025 10:45,8.12.2025 12:15
Linux & Git 24: Linux: scripts vol2 Andreev Vyacheslav 190925-wdm,8.12.2025 12:30,8.12.2025 14:00
Linux & Git 25: Git: Fork, Pull requests Andreev Vyacheslav 190925-wdm,9.12.2025 09:00,9.12.2025 12:15
Front-end 58.1: Прямоугольники, контуры, линии, дуги Bekov Astemir 190925-wdm,10.12.2025 09:00,10.12.2025 10:30
Front-end 58.2: Цветовые стили, текст, картинки Bekov Astemir 190925-wdm,10.12.2025 10:45,10.12.2025 12:15
Linux & Git 26: Summary Session 10 Andreev Vyacheslav 190925-wdm,10.12.2025 12:30,10.12.2025 14:00
Front-end 59.1: Создание переключателя между постами часть 1 Bekov Astemir 190925-wdm,11.12.2025 09:00,11.12.2025 10:30
Front-end 59.2: Создание переключателя между постами часть 2 Bekov Astemir 190925-wdm,11.12.2025 10:45,11.12.2025 12:15
Front-end 60: Practice Bekov Astemir 190925-wdm,11.12.2025 12:30,11.12.2025 14:00
Front-end 61: Summary Session Bekov Astemir 190925-wdm,12.12.2025 09:00,12.12.2025 12:15
Front-end 62.1:  Модальное окно div Bekov Astemir 190925-wdm,15.12.2025 09:00,15.12.2025 10:30
Front-end 62.2: Модальное окно dialog Bekov Astemir 190925-wdm,15.12.2025 10:45,15.12.2025 12:15
Linux & Git 27: Linux: scripts advanced Andreev Vyacheslav 190925-wdm,15.12.2025 12:30,15.12.2025 14:00
Linux & Git 28: Git: Monorepo, merge conflicts, Revert and Reset Andreev Vyacheslav 190925-wdm,16.12.2025 09:00,16.12.2025 12:15
Front-end 63.1: Реализация элементов управления часть 1 Bekov Astemir 190925-wdm,17.12.2025 09:00,17.12.2025 10:30
Front-end 63.2: Реализация элементов управления часть 2 Bekov Astemir 190925-wdm,17.12.2025 10:45,17.12.2025 12:15
Linux & Git 29: Summary Session 11 Andreev Vyacheslav 190925-wdm,17.12.2025 12:30,17.12.2025 14:00
Front-end 64.1: Создание анимированного навигационного меню Bekov Astemir 190925-wdm,18.12.2025 09:00,18.12.2025 10:30
Front-end 64.2: Создание всплывающих уведомлений Bekov Astemir 190925-wdm,18.12.2025 10:45,18.12.2025 12:15
Front-end 65: Practice Bekov Astemir 190925-wdm,18.12.2025 12:30,18.12.2025 14:00
Front-end 66: Summary Session Bekov Astemir 190925-wdm,19.12.2025 09:00,19.12.2025 12:15
* Front-end 67: Онбординг в проект Bekov Astemir 190925-wdm,5.1.2026 09:00,5.1.2026 12:15
Linux & Git 30: Git: Advanced teamwork Andreev Vyacheslav 190925-wdm,6.1.2026 09:00,6.1.2026 12:15
AI Webdev 2: Как упростить работу с кодом c использованием ИИ  190925-wdm,6.1.2026 12:30,6.1.2026 14:00
Linux & Git 31: Linux: Mini project Andreev Vyacheslav 190925-wdm,7.1.2026 09:00,7.1.2026 12:15
Front-end 68: Консультация по проекту Bekov Astemir 190925-wdm,8.1.2026 09:00,8.1.2026 12:15
Front-end 69: Консультация по проекту Bekov Astemir 190925-wdm,9.1.2026 09:00,9.1.2026 12:15
Front-end 70: Консультация по проекту Bekov Astemir 190925-wdm,12.1.2026 09:00,12.1.2026 12:15
Front-end 71: Консультация по проекту Bekov Astemir 190925-wdm,13.1.2026 09:00,13.1.2026 12:15
German: Техникум 1  190925-wdm,13.1.2026 14:30,13.1.2026 16:00
Front-end 72: Консультация по проекту Bekov Astemir 190925-wdm,15.1.2026 09:00,15.1.2026 12:15
Front-end 73: Презентация проекта Bekov Astemir 190925-wdm,16.1.2026 09:00,16.1.2026 12:15
Vacation  190925-wdm,17.1.2026 00:00,25.1.2026 00:00
REACT 1: Знакомство с REACT  190925-wdm,26.1.2026 09:00,26.1.2026 12:15
REACT 2: Практикум  190925-wdm,26.1.2026 12:30,26.1.2026 14:00
Web Engineering 1: Введение в базы данных. Оператор WHERE. Специальное значение NULL  190925-wdm,27.1.2026 09:00,27.1.2026 12:15
German: Техникум 2  190925-wdm,27.1.2026 14:30,27.1.2026 16:00
REACT 3: Работа с компонентами. JSX  190925-wdm,28.1.2026 09:00,28.1.2026 12:15
REACT 4: Практикум  190925-wdm,28.1.2026 12:30,28.1.2026 14:00
Web Engineering 2: Условные конструкции. Ограничение выборки. Выбор уникальных значений  190925-wdm,29.1.2026 09:00,29.1.2026 12:15
